;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;M3;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.0800256729125976;157.50449681282043;0.1716671533755156;3.0611808;0.1135481894016265;0.1599103808403015
1;M3;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.0699644088745117;125.74036812782288;0.1802683616404778;3.6468544006347656;0.1182973757386207;0.1751059144735336
2;M3;lstm;2;{'layers': 1, 'units': 64, 'return_sequence': True};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.1598589420318603;162.62534642219543;0.1693943398296477;2.7788608074188232;0.1119013056159019;0.1560241281986236
3;M3;lstm;3;{'layers': 1, 'units': 64, 'return_sequence': False};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.1651852130889892;146.89747667312622;0.1669667487037332;2.974775791168213;0.1153713166713714;0.15970379114151
4;M3;lstm;4;{'layers': 1, 'units': 128, 'return_sequence': True};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.3099627494812011;248.44079637527463;0.1682773423255186;3.2063632011413574;0.111054241657257;0.1648506969213485
5;M3;lstm;5;{'layers': 1, 'units': 128, 'return_sequence': False};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.2946333885192871;244.0860929489136;0.1629887077784995;3.114593505859375;0.1111606359481811;0.1628621518611908
6;M3;lstm;6;{'layers': 2, 'units': 32, 'return_sequence': True};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.2598879337310791;399.1050674915314;0.1618186995941689;2.6680190563201904;0.1118026450276374;0.1506699025630951
7;M3;lstm;7;{'layers': 2, 'units': 32, 'return_sequence': False};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.5593688488006592;457.5440900325775;0.1757677110396481;3.3233234882354736;0.1156451031565666;0.1691708117723465
8;M3;lstm;8;{'layers': 2, 'units': 64, 'return_sequence': True};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.5585958957672119;516.9302613735199;0.1651969424628232;3.0470130443573;0.1092204600572586;0.1585290431976318
9;M3;lstm;9;{'layers': 2, 'units': 64, 'return_sequence': False};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.5507752895355225;502.7126109600067;0.162214689887967;3.049161195755005;0.1108495369553566;0.1611772179603576
10;M3;lstm;10;{'layers': 2, 'units': 128, 'return_sequence': True};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.9604365825653076;913.5343034267426;0.1633133203208056;3.093571186065674;0.108307160437107;0.1631657481193542
11;M3;lstm;11;{'layers': 2, 'units': 128, 'return_sequence': False};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.9724111557006836;895.0527403354645;0.1624140480949146;3.10119104385376;0.108422964811325;0.1616519391536712
12;M3;lstm;12;{'layers': 4, 'units': 32, 'return_sequence': True};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.6081826686859131;842.491532087326;0.1555465173287619;3.037041664123535;0.1079595908522605;0.1633130609989166
13;M3;lstm;13;{'layers': 4, 'units': 32, 'return_sequence': False};18;1.25;22;32;5;2693;Adam;0.001;minmax;0.6893813610076904;3240.0288116931915;0.1675925027442154;3.023062467575073;0.1105998903512954;0.1620643734931945
14;M3;lstm;14;{'layers': 4, 'units': 64, 'return_sequence': True};18;1.25;22;32;5;2693;Adam;0.001;minmax;1.0699946880340576;1035.0257818698883;0.1660804874673822;3.0813770294189453;0.1062231659889221;0.1639978885650634
15;M3;lstm;15;{'layers': 4, 'units': 64, 'return_sequence': False};18;1.25;22;32;5;2693;Adam;0.001;minmax;1.2004728317260742;1032.3405873775482;0.168540193853405;3.1379284858703613;0.1071954742074012;0.1630313843488693
16;M3;lstm;16;{'layers': 4, 'units': 128, 'return_sequence': True};18;1.25;22;32;5;2693;Adam;0.001;minmax;1.8621516227722168;1906.725393295288;0.16357785492527152;2.965502977371216;0.10547161847352982;0.1606457531452179
